"ORGID13","ORGANIZATION13","ENGSTATE13","COMMITMENT13","SAT13","ORGID15","ORGANIZATION15","ENGSTATE15","COMMITMENT15","SAT15"
"EBC","Elections BC","Minimally Engaged",50,50,"EBC","Elections BC","Disengaged",25,12.5
"AGRI","Agriculture",NA,NA,NA,"AGRI","Agriculture","Engaged",100,100
"EBC","Elections BC","Unhappily Dedicated",75,37.5,"EBC","Elections BC","Unhappily Dedicated",62.5,50
"TICS","Technology, Innovation and Citizens' Services",NA,NA,NA," "," ",NA,NA,NA
"GCPE","Government Communications and Public Engagement",NA,NA,NA,"GCPE","Government Communications and Public Engagement",NA,NA,75
"GCPE","Government Communications and Public Engagement","Moderately Engaged",62.5,62.5,"GCPE","Government Communications and Public Engagement","Unhappily Dedicated",62.5,50
"EBC","Elections BC",NA,NA,NA,"EBC","Elections BC",NA,NA,NA
"PSSG","Public Safety and Solicitor General",NA,NA,NA,"PSSG","Public Safety and Solicitor General","Disengaged",37.5,37.5
"EBC","Elections BC","Moderately Engaged",62.5,75,"EBC","Elections BC","Unhappily Dedicated",75,50
"EBC","Elections BC","Engaged",75,75,"EBC","Elections BC","Engaged",75,75
"AGRI","Agriculture","Engaged",100,100,"AGRI","Agriculture","Engaged",87.5,75
"TICS","Technology, Innovation and Citizens' Services","Unhappily Dedicated",75,50," "," ",NA,NA,NA
"PGT","Public Guardian and Trustee","Engaged",100,100,"PGT","Public Guardian and Trustee","Unhappily Dedicated",87.5,50
"AGRI","Agriculture","Engaged",75,75,"AGRI","Agriculture","Moderately Engaged",62.5,75
"PGT","Public Guardian and Trustee",NA,75,NA,"PGT","Public Guardian and Trustee","Unhappily Dedicated",75,25
"PSSG","Public Safety and Solicitor General","Engaged",100,87.5,"PSSG","Public Safety and Solicitor General","Engaged",100,75
"PSSG","Public Safety and Solicitor General","Unhappily Dedicated",62.5,37.5,"PSSG","Public Safety and Solicitor General","Minimally Engaged",50,50
" "," ",NA,NA,NA,"PSSG","Public Safety and Solicitor General","Engaged",87.5,100
"PGT","Public Guardian and Trustee","Engaged",75,87.5,"PGT","Public Guardian and Trustee","Engaged",75,75
"AGRI","Agriculture","Engaged",75,75,"AGRI","Agriculture",NA,NA,NA
"PSSG","Public Safety and Solicitor General","Engaged",75,87.5,"PSSG","Public Safety and Solicitor General","Engaged",75,87.5
"AG","Attorney General",NA,NA,NA,"AG","Attorney General","Moderately Engaged",62.5,87.5
"GCPE","Government Communications and Public Engagement","Unhappily Dedicated",62.5,50,"GCPE","Government Communications and Public Engagement","Unhappily Dedicated",87.5,50
"SDSI","Social Development and Social Innovation","Unhappily Dedicated",62.5,50,"SDSI","Social Development and Social Innovation","Engaged",87.5,75
"AGRI","Agriculture","Engaged",100,87.5,"AGRI","Agriculture","Engaged",100,87.5
"PSSG","Public Safety and Solicitor General","Engaged",100,87.5,"PSSG","Public Safety and Solicitor General","Unhappily Dedicated",62.5,50
"AG","Attorney General","Engaged",75,87.5,"AG","Attorney General","Happily Detached",50,75
"BCPSA","BC Public Service Agency","Engaged",75,75,"BCPSA","BC Public Service Agency",NA,NA,100
"PSSG","Public Safety and Solicitor General",NA,NA,NA," "," ",NA,NA,NA
"AGRI","Agriculture","Engaged",100,100,"AGRI","Agriculture","Engaged",100,100
"PGT","Public Guardian and Trustee","Moderately Engaged",62.5,62.5,"PGT","Public Guardian and Trustee",NA,NA,0
"PGT","Public Guardian and Trustee","Engaged",100,100," "," ",NA,NA,NA
"AGRI","Agriculture","Disengaged",37.5,25,"AGRI","Agriculture","Engaged",75,75
